,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,a100,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a147,Class
0,0.076487,0.01407,0.275568,0.933842,0.055163,0.098398,0.828008,0.94773,0.95888,0.543683,0.518769,0.491706,0.054915,0.4875,0.833333,0.596215,0.621622,0.734694,0.379747,0.064815,0.469985,0.068041,0.002967,0.269608,0.914612,0.03936,0.049544,0.812463,0.92805,0.940726,0.483743,0.533084,0.499788,0.018288,0.493976,0.842105,0.374656,0.650943,0.693878,0.381579,0.012327,0.563229,0.066667,0.002761,0.263158,0.915928,0.04244,0.055472,0.815178,0.92805,0.940726,0.440752,0.460957,0.421864,0.019384,0.482353,0.84375,0.26738,0.644231,0.690722,0.373333,0.010069,0.714827,0.057292,0.001596,0.17913,0.915152,0.019814,0.053623,0.814617,0.927446,0.940014,0.393123,0.400125,0.3751,0.017886,0.405405,0.85,0.25641,0.644231,0.690722,0.378378,0.006114,0.747223,0.052464,0.000739,0.206413,0.917085,0.018275,0.053701,0.828269,0.927446,0.940014,0.392791,0.400125,0.3751,0.017886,0.394737,0.848485,0.154639,0.644231,0.690722,0.378378,0.004561,0.994489,0.048246,0.000602,0.178201,0.917085,0.018275,0.033606,0.828269,0.927446,0.940014,0.384017,0.432551,0.40092,0.017886,0.38961,0.840426,0.154639,0.66055,0.690722,0.383562,0.003547,1.0,0.048246,0.000602,0.178201,0.917085,0.018275,0.033006,0.828269,0.927446,0.940014,0.363224,0.432551,0.40092,0.015699,0.38961,0.833333,0.154639,0.66055,0.690722,0.383562,0.002483,1.0,2
1,0.385269,0.040125,0.443182,0.864305,0.206506,0.336384,0.738185,0.893346,0.8992,0.091933,0.139712,0.146031,0.023996,0.45,0.525641,0.634069,0.594595,0.683673,0.35443,0.219136,0.394462,0.414433,0.047919,0.35049,0.832329,0.153752,0.325945,0.713296,0.861549,0.865408,0.112547,0.15876,0.167091,0.036028,0.650602,0.631579,0.614325,0.537736,0.826531,0.355263,0.178737,0.345474,0.713131,0.157882,0.464115,0.823314,0.265252,0.547226,0.70981,0.848402,0.854543,0.276491,0.303706,0.3,0.012406,0.717647,0.479167,0.735294,0.548077,0.43299,0.346667,0.359975,0.304785,0.638889,0.131323,0.32,0.813671,0.134365,0.589855,0.701141,0.83882,0.845511,0.24458,0.268624,0.270365,0.022536,0.72973,0.48,0.730769,0.456731,0.773196,0.351351,0.327074,0.293218,0.585056,0.130578,0.368737,0.81539,0.123929,0.590711,0.712891,0.83882,0.845511,0.244373,0.268624,0.270365,0.022536,0.710526,0.474747,0.631443,0.456731,0.773196,0.351351,0.309287,0.413781,0.52193,0.148412,0.271626,0.845486,0.108509,0.35604,0.747053,0.866606,0.871816,0.301125,0.340706,0.33464,0.022357,0.766234,0.521277,0.703608,0.527523,0.804124,0.369863,0.27604,0.344601,0.52193,0.148412,0.271626,0.845486,0.108509,0.349688,0.747053,0.866606,0.871816,0.28482,0.340706,0.33464,0.019623,0.766234,0.5,0.703608,0.527523,0.804124,0.369863,0.193184,0.344601,3
2,0.31728,0.044468,0.417614,0.937494,0.151344,0.267735,0.821831,0.958651,0.964767,0.079452,0.082134,0.101896,0.006461,0.5375,0.717949,0.583596,0.772973,0.173469,0.379747,0.200617,0.290686,0.272165,0.044087,0.362745,0.939227,0.114391,0.196871,0.832306,0.958847,0.962272,0.044393,0.088847,0.08896,0.021763,0.481928,0.726316,0.435262,0.622642,0.806122,0.381579,0.120955,0.43549,0.212121,0.178776,0.299043,0.903069,0.129973,0.175412,0.810212,0.915669,0.920372,0.164261,0.189277,0.185484,0.023066,0.776471,0.697917,0.5,0.615385,0.814433,0.386667,0.176841,0.170457,0.182292,0.103315,0.205217,0.902174,0.060681,0.169565,0.809636,0.91496,0.919415,0.146511,0.164298,0.164833,0.021284,0.743243,0.71,0.479487,0.615385,0.814433,0.391892,0.121834,0.179593,0.147854,0.108219,0.216433,0.897272,0.049686,0.149492,0.817035,0.908059,0.91241,0.184972,0.205997,0.206281,0.021284,0.736842,0.737374,0.399485,0.649038,0.804124,0.391892,0.110282,0.225597,0.135965,0.088135,0.186851,0.897272,0.049686,0.093551,0.817035,0.908059,0.91241,0.180841,0.222691,0.22048,0.021284,0.727273,0.723404,0.399485,0.665138,0.804124,0.39726,0.085779,0.245549,0.135965,0.088135,0.186851,0.897272,0.049686,0.091882,0.817035,0.908059,0.91241,0.171049,0.222691,0.22048,0.018681,0.727273,0.711111,0.399485,0.665138,0.804124,0.39726,0.060032,0.245549,3
3,0.402266,0.06757,0.363636,0.929367,0.21075,0.386728,0.813149,0.954467,0.953667,0.067275,0.099915,0.099822,0.069682,0.5125,0.666667,0.611987,0.572973,0.826531,0.367089,0.314815,0.375934,0.445361,0.164153,0.553922,0.934916,0.305043,0.316819,0.816153,0.9638,0.960805,0.10692,0.137536,0.142251,0.023226,0.650602,0.6,0.581267,0.485849,0.836735,0.368421,0.328968,0.276625,0.456566,0.197981,0.483254,0.934915,0.250663,0.376312,0.823845,0.959163,0.956496,0.144322,0.1371,0.13638,0.024423,0.705882,0.635417,0.508021,0.567308,0.762887,0.36,0.303965,0.271143,0.434028,0.180814,0.316522,0.938109,0.113313,0.455072,0.821545,0.965131,0.962654,0.101965,0.103389,0.106807,0.042568,0.635135,0.62,0.441026,0.399038,0.927835,0.364865,0.313537,0.299257,0.397456,0.180111,0.364729,0.940091,0.104512,0.455733,0.835313,0.965131,0.962654,0.101878,0.103389,0.106807,0.042568,0.618421,0.616162,0.340206,0.399038,0.927835,0.364865,0.296434,0.421505,0.20614,0.202205,0.228374,0.91455,0.060537,0.166213,0.810912,0.939705,0.937462,0.153375,0.185886,0.18504,0.041853,0.805195,0.723404,0.451031,0.518349,0.917526,0.369863,0.184457,0.254266,0.20614,0.202205,0.228374,0.91455,0.060537,0.163247,0.810912,0.939705,0.937462,0.14507,0.185886,0.18504,0.036735,0.805195,0.711111,0.451031,0.518349,0.917526,0.369863,0.12909,0.254266,3
4,0.325779,0.162237,0.491477,0.759428,0.181047,0.700229,0.640306,0.788366,0.79494,0.240791,0.194186,0.227488,0.519612,0.775,0.474359,0.952681,0.097297,0.989796,0.341772,0.756173,0.200366,0.237113,0.037866,0.419118,0.756953,0.157442,0.398957,0.64162,0.785412,0.792289,0.146728,0.128173,0.15138,0.205925,0.746988,0.568421,0.669421,0.160377,0.989796,0.342105,0.1849,0.295474,0.218182,0.12347,0.466507,0.799777,0.201592,0.433283,0.713692,0.814003,0.815898,0.236232,0.200792,0.21129,0.214576,0.917647,0.677083,0.697861,0.168269,1.0,0.373333,0.264947,0.111084,0.265625,0.210346,0.349565,0.770568,0.117028,0.8,0.708703,0.775709,0.774113,0.196308,0.214899,0.23641,0.426221,0.864865,0.59,0.687179,0.048077,1.0,0.405405,0.534061,0.154112,0.243243,0.209668,0.402806,0.772196,0.107938,0.801161,0.72058,0.775709,0.774113,0.196141,0.214899,0.23641,0.426221,0.842105,0.585859,0.587629,0.048077,1.0,0.405405,0.505804,0.235854,0.342105,0.322527,0.394464,0.758392,0.230154,1.0,0.681768,0.772667,0.775458,0.214428,0.205808,0.221503,0.877839,0.844156,0.457447,0.634021,0.0,1.0,0.383562,0.999355,0.260108,0.342105,0.322527,0.394464,0.758392,0.230154,0.982159,0.681768,0.772667,0.775458,0.202817,0.205808,0.221503,0.770487,0.844156,0.433333,0.634021,0.0,1.0,0.383562,0.699391,0.260108,3
5,0.597734,0.027619,0.417614,0.663729,0.21075,0.528604,0.972386,0.44533,0.529031,0.147945,0.234829,0.278732,0.040148,0.425,0.423077,0.662461,0.502703,0.693878,0.873418,0.246914,0.538458,0.463918,0.029749,0.375,0.609169,0.188192,0.298566,0.922655,0.387843,0.472311,0.24802,0.248023,0.272399,0.000366,0.783133,0.673684,0.719008,0.716981,0.540816,0.907895,0.130971,0.200117,0.177778,0.053081,0.23445,0.61752,0.123342,0.128936,0.90646,0.40896,0.492574,0.346373,0.303706,0.318459,0.001163,0.882353,0.8125,0.697861,0.826923,0.536082,0.88,0.079924,0.130751,0.546875,0.059231,0.326957,0.605135,0.116409,0.484058,0.896486,0.397003,0.477198,0.320969,0.314384,0.332536,0.015918,0.824324,0.62,0.74359,0.5625,0.701031,0.891892,0.186026,0.199076,0.325914,0.097921,0.282565,0.610639,0.05711,0.333817,0.914227,0.403905,0.480028,0.420206,0.369827,0.378288,0.023431,0.842105,0.787879,0.639175,0.706731,0.670103,0.878378,0.172471,0.183052,0.299708,0.079748,0.243945,0.610639,0.05711,0.208901,0.914227,0.403905,0.480028,0.410821,0.399797,0.404328,0.023431,0.831169,0.776596,0.639175,0.720183,0.670103,0.890411,0.13415,0.203803,0.299708,0.079748,0.243945,0.610639,0.05711,0.205174,0.914227,0.403905,0.480028,0.388576,0.399797,0.404328,0.020565,0.831169,0.766667,0.639175,0.720183,0.670103,0.890411,0.093884,0.203803,8
6,0.056657,0.005906,0.224432,0.830746,0.019802,0.073227,0.707304,0.859087,0.866035,0.970167,0.971775,0.979858,0.046147,0.5625,0.858974,0.473186,0.610811,0.622449,0.35443,0.033951,0.486957,0.041237,0.000783,0.188725,0.829362,0.01722,0.041721,0.708976,0.857722,0.864812,0.646103,0.701415,0.690658,0.018288,0.542169,0.884211,0.250689,0.608491,0.622449,0.355263,0.004622,0.658199,0.040404,0.000577,0.184211,0.830556,0.018568,0.046477,0.711345,0.857722,0.864812,0.588682,0.606513,0.582975,0.019384,0.529412,0.885417,0.147059,0.600962,0.618557,0.346667,0.003776,0.828359,0.375,0.054754,0.285217,0.327586,0.096594,0.355072,0.3023,0.32622,0.33389,0.66853,0.621271,0.624422,0.024861,0.918919,0.57,0.812821,0.466346,0.876289,0.391892,0.141485,0.096947,0.343402,0.053943,0.328657,0.328278,0.089092,0.355588,0.307366,0.32622,0.33389,0.667964,0.621271,0.624422,0.024861,0.894737,0.565657,0.713918,0.466346,0.876289,0.391892,0.133085,0.162735,0.311404,0.05125,0.306228,0.378985,0.087379,0.209809,0.346869,0.38025,0.38919,0.755791,0.86392,0.864031,0.019496,0.87013,0.595745,0.716495,0.56422,0.804124,0.383562,0.107385,0.185962,0.311404,0.05125,0.306228,0.378985,0.087379,0.206066,0.346869,0.38025,0.38919,0.714867,0.86392,0.864031,0.017111,0.87013,0.577778,0.716495,0.56422,0.804124,0.383562,0.075152,0.185962,2
7,0.0,0.013549,0.0625,0.948133,0.015559,0.018307,0.830603,0.968603,0.977216,0.266362,0.261643,0.199052,0.046147,0.4375,0.910256,0.548896,0.718919,0.591837,0.379747,0.04321,0.469163,0.0,0.002843,0.046569,0.923048,0.00492,0.005215,0.811609,0.942999,0.951499,0.390371,0.49563,0.478981,0.018288,0.409639,0.968421,0.330579,0.712264,0.571429,0.381579,0.006934,0.495212,0.0,0.002638,0.045455,0.924377,0.005305,0.004498,0.81432,0.942999,0.951499,0.355678,0.428571,0.404301,0.019384,0.4,0.96875,0.224599,0.706731,0.56701,0.373333,0.005664,0.633517,0.043403,0.004644,0.095652,0.663371,0.020433,0.04058,0.567334,0.684767,0.693389,1.0,1.0,1.0,0.013772,0.756757,0.87,0.482051,0.783654,0.42268,0.351351,0.011354,0.26984,0.039746,0.00379,0.11022,0.664773,0.018846,0.040639,0.576842,0.684767,0.693389,0.999154,1.0,1.0,0.013772,0.736842,0.868687,0.381443,0.783654,0.42268,0.351351,0.009536,0.383879,0.311404,0.05125,0.306228,0.378985,0.087379,0.209809,0.346869,0.38025,0.38919,0.755791,0.86392,0.864031,0.019496,0.87013,0.595745,0.716495,0.56422,0.804124,0.383562,0.107385,0.185962,0.311404,0.05125,0.306228,0.378985,0.087379,0.206066,0.346869,0.38025,0.38919,0.714867,0.86392,0.864031,0.017111,0.87013,0.577778,0.716495,0.56422,0.804124,0.383562,0.075152,0.185962,2
8,0.167139,0.299983,0.190341,0.880102,0.042433,0.1373,0.729279,0.912942,0.934837,0.107458,0.141406,0.153732,0.022612,0.475,0.871795,0.684543,0.918919,0.5,0.341772,0.401235,0.247753,0.045361,0.10618,0.132353,0.885824,0.03198,0.026076,0.741687,0.918145,0.937517,0.136724,0.145859,0.142463,0.003109,0.73494,0.905263,0.548209,0.943396,0.27551,0.342105,0.088598,0.156005,0.044444,0.105996,0.129187,0.887099,0.034483,0.028486,0.744165,0.918145,0.937517,0.124573,0.126125,0.120251,0.003295,0.717647,0.90625,0.435829,0.942308,0.268041,0.333333,0.072373,0.228015,0.027778,0.073592,0.067826,0.897723,0.020433,0.017391,0.76852,0.923405,0.939596,0.214262,0.137279,0.127531,0.000358,0.905405,0.91,0.535897,0.966346,0.082474,0.351351,0.051092,0.091661,0.025437,0.072797,0.078156,0.89962,0.018846,0.017417,0.7814,0.923405,0.939596,0.21408,0.137279,0.127531,0.000358,0.881579,0.909091,0.435567,0.966346,0.082474,0.351351,0.047264,0.155974,0.023392,0.059287,0.067474,0.89962,0.018846,0.010899,0.7814,0.923405,0.939596,0.209298,0.148405,0.136309,0.000358,0.87013,0.904255,0.435567,0.96789,0.082474,0.356164,0.036762,0.177233,0.023392,0.059287,0.067474,0.89962,0.018846,0.010705,0.7814,0.923405,0.939596,0.197966,0.148405,0.136309,0.000314,0.87013,0.9,0.435567,0.96789,0.082474,0.356164,0.025728,0.177233,1
9,0.388102,0.024839,0.369318,0.426399,0.261669,0.354691,0.721625,0.242107,0.28739,0.20274,0.2814,0.272808,0.048454,0.5875,0.538462,0.719243,0.605405,0.489796,0.974684,0.175926,0.505746,0.2,0.006016,0.338235,0.432876,0.189422,0.148631,0.738268,0.238541,0.289172,0.201751,0.232626,0.252229,0.01774,0.686747,0.705263,0.517906,0.646226,0.5,0.986842,0.034669,0.410994,0.236364,0.02584,0.215311,0.491435,0.180371,0.178411,0.764616,0.315218,0.358485,0.568173,0.402843,0.403047,0.008141,0.929412,0.729167,0.762032,0.802885,0.329897,0.893333,0.064821,0.096869,0.203125,0.014933,0.144348,0.486741,0.084211,0.172464,0.763901,0.309467,0.350777,0.506775,0.34968,0.358361,0.007512,0.918919,0.74,0.730769,0.802885,0.329897,0.905405,0.044105,0.10286,0.27663,0.021858,0.318637,0.403305,0.111365,0.278665,0.62058,0.272509,0.295477,0.935861,0.414181,0.447154,0.018065,0.986842,0.565657,0.649485,0.524038,0.731959,0.837838,0.070066,0.011971,0.254386,0.017802,0.275087,0.403305,0.111365,0.174387,0.62058,0.272509,0.295477,0.914957,0.447746,0.477935,0.018065,0.974026,0.542553,0.649485,0.545872,0.731959,0.849315,0.054499,0.035935,0.254386,0.017802,0.275087,0.403305,0.111365,0.171276,0.62058,0.272509,0.295477,0.865415,0.447746,0.477935,0.015856,0.974026,0.522222,0.649485,0.545872,0.731959,0.849315,0.03814,0.035935,8
